sentence,word,ner
294-18,",",O
294-18,vodja,O
294-18,republikanske,O
294-18,stranke,O
294-18,v,O
294-18,Koloradu,O
294-18,",",O
294-18,pravi,O
294-18,",",O
294-18,da,O
294-18,Trumpa,O
294-18,podpira,O
294-18,zato,O
294-18,",",O
294-18,ker,O
294-18,je,O
294-18,poslovnež,O
294-18,.,O
294-19,Posel,O
294-19,je,O
294-19,posel,O
294-19,.,O
294-20,Če,O
294-20,se,O
294-20,bo,O
294-20,obdal,O
294-20,s,O
294-20,sposobnimi,O
294-20,politiki,O
294-20,",",O
294-20,bo,O
294-20,po,O
294-20,Housovem,B-PER
294-20,mnenju,O
294-20,dober,O
294-20,predsednik,O
294-20,države,O
294-20,.,O
294-21,Konvencija,O
294-21,republikanske,O
294-21,stranke,O
294-21,je,O
294-21,formalnost,O
294-21,že,O
294-21,leta,O
294-21,.,O
294-22,Je,O
294-22,predvsem,O
294-22,šov,O
294-22,",",O
294-22,v,O
294-22,katerem,O
294-22,delegati,O
294-22,formalno,O
294-22,potrdijo,O
294-22,kandidata,O
294-22,",",O
294-22,ki,O
294-22,je,O
294-22,zmagovalec,O
294-22,strankarskih,O
294-22,volitev,O
294-22,.,O
294-23,Po,O
294-23,poročanju,O
294-23,BBC,B-ORG
294-23,bo,O
294-23,letošnja,O
294-23,konvencija,O
294-23,šov,O
294-23,Donalda,O
294-23,Trumpa,O
294-23,.,O
294-24,Tisti,O
294-24,",",O
294-24,ki,O
294-24,ga,O
294-24,ne,O
294-24,podpirajo,O
294-24,",",O
294-24,bodo,O
294-24,njegova,O
294-24,tarča,O
294-24,.,O
294-25,Pričakovati,O
294-25,je,O
294-25,",",O
294-25,da,O
294-25,bo,O
294-25,Donald,O
294-25,Trump,O
294-25,novembra,O
294-25,na,O
294-25,predsedniških,O
294-25,volitvah,O
294-25,nastopil,O
294-25,proti,O
294-25,kandidatki,O
294-25,demokratske,O
294-25,stranke,O
294-25,",",O
294-25,nekdanji,O
294-25,državni,O
294-25,sekretarki,O
294-25,Hillary,B-PER
294-25,Clinton,I-PER
294-25,Še,O
294-25,preden,O
294-25,je,O
294-25,zbral,O
294-25,potrebno,O
294-25,število,O
294-25,glasov,O
294-25,delegatov,O
294-25,za,O
294-25,nominacijo,O
294-25,svoje,O
294-25,stranke,O
294-25,",",O
294-25,je,O
294-25,Donald,O
294-25,Trump,O
294-25,po,O
294-25,javnomnenjskih,O
294-25,anketah,O
294-25,prvič,O
294-25,prehitel,O
294-25,Clintonovo,B-PER
294-25,",",O
294-25,ki,O
294-25,je,O
294-25,imela,O
294-25,pred,O
294-25,njim,O
294-25,še,O
294-25,pred,O
294-25,meseci,O
294-25,več,O
294-25,kot,O
294-25,10-odstotno,O
294-25,prednost,O
294-25,.,O
294-26,Zdaj,O
294-26,bi,O
294-26,po,O
294-26,anketi,O
294-26,TV-postaje,O
294-26,NBC,B-ORG
294-26,in,O
294-26,časopisa,O
294-26,Wall,B-ORG
294-26,Street,I-ORG
294-26,Journal,I-ORG
294-26,Trumpa,O
294-26,podprlo,O
294-26,za,O
294-26,tri,O
294-26,odstotne,O
294-26,točke,O
294-26,več,O
294-26,volivcev,O
294-26,kot,O
294-26,Clintonovo,O
294-26,.,O
294-27,Po,O
294-27,drugih,O
294-27,anketah,O
294-27,je,O
294-27,Trump,O
294-27,Clintonovo,O
294-27,za,O
294-27,zdaj,O
294-27,le,O
294-27,dohitel,O
294-27,.,O
294-28,Potem,O
294-28,ko,O
294-28,je,O
294-28,Trump,O
294-28,premagal,O
294-28,vse,O
294-28,tekmece,O
294-28,",",O
294-28,pridobiva,O
294-28,tudi,O
294-28,podporo,O
294-28,finančnega,O
294-28,središča,O
294-28,New,O
294-28,Yorka,O
294-28,Wall,O
294-28,Street,O
294-28,.,O
294-29,Lastniki,O
294-29,hedge,O
294-29,skladov,O
294-29,",",O
294-29,ki,O
294-29,so,O
294-29,na,O
294-29,začetku,O
294-29,kampanje,O
294-29,podpirali,O
294-29,predvsem,O
294-29,brata,O
294-29,nekdanjega,O
294-29,predsednika,O
294-29,",",O
294-29,Jeba,B-PER
294-29,Busha,I-PER
294-29,",",O
294-29,pravijo,O
294-29,",",O
294-29,da,O
294-29,se,O
294-29,Trumpa,O
294-29,ne,O
294-29,bojijo,O
294-29,",",O
294-29,če,O
294-29,bo,O
294-29,postal,O
294-29,predsednik,O
294-29,",",O
294-29,saj,O
294-29,tudi,O
294-29,sam,O
294-29,kot,O
294-29,milijarder,O
294-29,želi,O
294-29,plačati,O
294-29,čim,O
294-29,manj,O
294-29,davkov,O
294-29,.,O
294-30,Wall,O
294-30,Street,O
294-30,v,O
294-30,svoji,O
294-30,kampanji,O
294-30,napada,O
294-30,le,O
294-30,zato,O
294-30,",",O
294-30,ker,O
294-30,mora,O
294-30,",",O
294-30,če,O
294-30,želi,O
294-30,dobiti,O
294-30,volivce,O
294-30,",",O
294-30,so,O
294-30,prepričani,O
294-30,bankirji,O
294-30,.,O
294-31,Donald,O
294-31,Trump,O
294-31,",",O
294-31,star,O
294-31,je,O
294-31,69,O
294-31,let,O
294-31,",",O
294-31,je,O
294-31,kandidaturo,O
294-31,za,O
294-31,predsednika,O
294-31,ZDA,O
294-31,napovedal,O
294-31,16.,O
294-31,junija,O
294-31,lani,O
294-31,v,O
294-31,avli,O
294-31,svoje,O
294-31,stolpnice,O
294-31,v,O
294-31,New,B-LOC
294-31,Yorku,I-LOC
294-31,",",O
294-31,kamor,O
294-31,se,O
294-31,je,O
294-31,z,O
294-31,dvigalom,O
294-31,pripeljal,O
294-31,z,O
294-31,ženo,O
294-31,Melanio,B-PER
294-31,.,O
295-0,Donald,B-PER
295-0,Trump,B-PER
295-0,v,O
295-0,ekskluzivnem,O
295-0,intervjuju,O
295-0,:,O
295-0,Amerika,B-LOC
295-0,je,O
295-0,naredila,O
295-0,največjo,O
295-0,neumnost,O
295-0,na,O
295-0,svetu,O
295-0,-,O
295-0,Novi,B-ORG
295-0,Radio,I-ORG
295-1,Zunanjepolitična,O
295-1,usmeritev,O
295-1,Donalda,O
295-1,Trumpa,O
295-1,je,O
295-1,bila,O
295-1,precejšnja,O
295-1,skrivnost,O
295-1,",",O
295-1,tokrat,O
295-1,pa,O
295-1,je,O
295-1,razkril,O
295-1,",",O
295-1,kako,O
295-1,bi,O
295-1,vodil,O
295-1,največjo,O
295-1,svetovno,O
295-1,velesilo,O
295-1,",",O
295-1,če,O
295-1,bi,O
295-1,postal,O
295-1,predsednik,O
295-1,ZDA,B-LOC
295-1,.,O
295-2,Na,O
295-2,prvo,O
295-2,mesto,O
295-2,postavlja,O
295-2,državno,O
295-2,varnost,O
295-2,in,O
295-2,jasno,O
295-2,pravi,O
295-2,",",O
295-2,da,O
295-2,ZDA,O
295-2,ne,O
295-2,bo,O
295-2,nihče,O
295-2,več,O
295-2,izkoriščal,O
295-2,.,O
295-3,Najpomembnejša,O
295-3,se,O
295-3,mu,O
295-3,zdi,O
295-3,bitka,O
295-3,proti,O
295-3,terorizmu,O
295-3,",",O
295-3,kjer,O
295-3,je,O
295-3,Amerika,O
295-3,po,O
295-3,njegovih,O
295-3,besedah,O
295-3,naredila,O
295-3,ključno,O
295-3,napako,O
295-3,.,O
295-4,Če,O
295-4,bo,O
295-4,Donald,O
295-4,Trump,O
295-4,postal,O
295-4,predsednik,O
295-4,ZDA,O
295-4,",",O
295-4,si,O
295-4,lahko,O
295-4,obetamo,O
295-4,marsikatero,O
295-4,spremembo,O
295-4,",",O
295-4,predvsem,O
295-4,na,O
295-4,zunanjepolitični,O
295-4,sceni,O
295-4,.,O
295-5,To,O
295-5,je,O
295-5,dal,O
295-5,jasno,O
295-5,vedeti,O
295-5,tudi,O
295-5,v,O
295-5,intervjuju,O
295-5,za,O
295-5,The,B-ORG
295-5,New,I-ORG
295-5,York,I-ORG
295-5,Times,I-ORG
295-5,.,O
295-6,Predvsem,O
295-6,ZDA,O
295-6,ne,O
295-6,bodo,O
295-6,več,O
295-6,tako,O
295-6,prijazne,O
295-6,in,O
295-6,nudile,O
295-6,pomoči,O
295-6,drugim,O
295-6,državam,O
295-6,.,O
295-7,Kot,O
295-7,pravi,O
295-7,Trump,O
295-7,",",O
295-7,je,O
295-7,na,O
295-7,absolutno,O
295-7,prvem,O
295-7,mestu,O
295-7,varnost,O
295-7,Amerike,O
295-7,.,O
295-8,”,O
295-8,Številka,O
295-8,ena,O
295-8,je,O
295-8,ameriška,O
295-8,varnost,O
295-8,.,O
295-9,Močno,O
295-9,na,O
295-9,prvem,O
295-9,mestu,O
295-9,je,O
295-9,.,O
295-10,Šele,O
295-10,dolgo,O
295-10,za,O
295-10,tem,O
295-10,so,O
295-10,na,O
295-10,vrsti,O
295-10,pomoči,O
295-10,drugim,O
295-10,.,O
295-11,Pri,O
295-11,tem,O
295-11,je,O
295-11,treba,O
295-11,upoštevati,O
295-11,tudi,O
295-11,to,O
295-11,",",O
295-11,kako,O
295-11,prijazni,O
295-11,so,O
295-11,bili,O
295-11,do,O
295-11,nas,O
295-11,",",O
295-11,”,O
295-11,je,O
295-11,dejal,O
295-11,Trump,O
295-11,.,O
295-12,Opozoril,O
295-12,je,O
295-12,",",O
295-12,da,O
295-12,ZDA,O
295-12,danes,O
295-12,s,O
295-12,svojimi,O
295-12,vojaškimi,O
295-12,enotami,O
295-12,pomagajo,O
295-12,mnogim,O
295-12,državam,O
295-12,",",O
295-12,ki,O
295-12,do,O
295-12,njih,O
295-12,niso,O
295-12,tako,O
295-12,prijazne,O
295-12,.,O
295-13,Ponovna,O
295-13,pogajanja,O
295-13,:,O
295-13,‘,O
295-13,Amerike,O
295-13,ne,O
295-13,bo,O
295-13,nihče,O
295-13,izkoriščal,O
295-13,’,O
295-13,Če,O
295-13,bo,O
295-13,postal,O
295-13,predsednik,O
295-13,",",O
295-13,se,O
295-13,želi,O
295-13,ponovno,O
295-13,pogajati,O
295-13,o,O
295-13,dogovorih,O
295-13,z,O
295-13,nekaterimi,O
295-13,zaveznicami,O
295-13,",",O
295-13,iz,O
295-13,tega,O
295-13,pa,O
295-13,ne,O
295-13,izključuje,O
295-13,niti,O
295-13,56,O
295-13,let,O
295-13,starega,O
295-13,pakta,O
295-13,z,O
295-13,Japonsko,B-LOC
295-13,.,O
295-14,Tega,O
295-14,je,O
295-14,označil,O
295-14,kot,O
295-14,izrazito,O
295-14,enostranskega,O
295-14,.,O
295-15,Trump,O
295-15,je,O
295-15,sicer,O
295-15,velik,O
295-15,kritik,O
295-15,ameriške,O
295-15,pomoči,O
295-15,zavezniškim,O
295-15,državam,O
295-15,",",O
295-15,predvsem,O
295-15,tistih,O
295-15,",",O
295-15,ki,O
295-15,po,O
295-15,njegovem,O
295-15,mnenju,O
295-15,ZDA,O
295-15,izkoriščajo,O
295-15,.,O
295-15,”,O
295-15,Ne,O
295-15,bomo,O
295-15,se,O
295-15,pustili,O
295-15,",",O
295-15,da,O
295-15,nas,O
295-15,ponovno,O
295-15,oberejo,O
295-15,.,O
295-16,Prijazni,O
295-16,bomo,O
295-16,z,O
295-16,vsemi,O
295-16,",",O
295-16,a,O
295-16,ne,O
295-16,bomo,O
295-16,dopustili,O
295-16,",",O
295-16,da,O
295-16,nas,O
295-16,bi,O
295-16,kdo,O
295-16,izkoriščal,O
295-16,",",O
295-16,”,O
295-16,je,O
295-16,dejal,O
295-16,Trump,O
295-16,.,O
295-16,”,O
295-16,Ne,O
295-16,želim,O
295-16,",",O
295-16,da,O
295-16,bi,O
295-16,cel,O
295-16,svet,O
295-16,vedel,O
295-16,",",O
295-16,kako,O
295-16,razmišljam,O
295-16,o,O
295-16,zunanji,O
295-16,politiki,O
295-16,",",O
295-16,”,O
295-16,je,O
295-16,dejal,O
295-16,Trump,O
295-16,in,O
295-16,s,O
295-16,tem,O
295-16,poudaril,O
295-16,faktor,O
295-16,nepredvidljivosti,O
295-16,v,O
295-16,zunanjepolitičnih,O
295-16,odnosih,O
295-16,.,O
295-17,Kritiziral,O
295-17,je,O
295-17,odprtost,O
295-17,ameriške,O
295-17,zunanje,O
295-17,politike,O
295-17,.,O
295-18,Kot,O
295-18,pravi,O
295-18,",",O
295-18,lahko,O
295-18,na,O
295-18,tak,O
295-18,način,O
295-18,zavezniki,O
295-18,prehitro,O
295-18,uvidijo,O
295-18,namere,O
295-18,ZDA,O
295-18,",",O
295-18,kar,O
295-18,za,O
295-18,pogajanja,O
295-18,ni,O
295-18,najbolje,O
295-18,.,O
295-18,‘,O
295-18,Največja,O
295-18,neumnost,O
295-18,je,O
295-18,",",O
295-18,da,O
295-18,se,O
295-18,ZDA,O
295-18,istočasno,O
295-18,bori,O
295-18,proti,O
295-18,Assadu,B-PER
295-18,in,O
295-18,ISIS,B-ORG
295-18,’,O
295-18,Dejal,O
295-18,je,O
295-18,",",O
295-18,da,O
295-18,je,O
295-18,največja,O
295-18,napaka,O
295-18,",",O
295-18,da,O
295-18,se,O
295-18,ZDA,O
295-18,v,O
295-18,Siriji,B-LOC
295-18,istočasno,O
295-18,borijo,O
295-18,proti,O
295-18,obema,O
295-18,stranema,O
295-18,.,O
295-18,”,O
295-18,Neumno,O
295-18,je,O
295-18,",",O
295-18,da,O
295-18,se,O
295-18,borimo,O
295-18,tako,O
295-18,proti,O
295-18,Assadu,O
295-18,kot,O
295-18,proti,O
295-18,ISIS,O
295-18,.,O
295-19,Ti,O
295-19,dve,O
295-19,strani,O
295-19,se,O
295-19,borita,O
295-19,druga,O
295-19,proti,O
295-19,drugi,O
295-19,.,O
295-20,Ne,O
295-20,razumite,O
295-20,me,O
295-20,narobe,O
295-20,",",O
295-20,ne,O
295-20,pravim,O
295-20,",",O
295-20,da,O
295-20,je,O
295-20,Assad,O
295-20,dober,O
295-20,človek,O
295-20,",",O
295-20,seveda,O
295-20,ni,O
295-20,",",O
295-20,a,O
295-20,veliko,O
295-20,večji,O
295-20,problem,O
295-20,kot,O
295-20,Assad,O
295-20,predstavlja,O
295-20,ISIS,O
295-20,",",O
295-20,”,O
295-20,je,O
295-20,bil,O
295-20,jasen,O
295-20,Trump,O
295-20,.,O
295-21,Brez,O
295-21,ZDA,O
295-21,ne,O
295-21,bi,O
295-21,bilo,O
295-21,Savdske,B-LOC
295-21,Arabije,I-LOC
295-21,Trump,O
295-21,je,O
295-21,prepričan,O
295-21,",",O
295-21,da,O
295-21,Savdske,O
295-21,Arabije,O
295-21,brez,O
295-21,ZDA,O
295-21,ne,O
295-21,bi,O
295-21,bilo,O
295-21,.,O
295-21,”,O
295-21,Res,O
295-21,je,O
295-21,",",O
295-21,imajo,O
295-21,veliko,O
295-21,denarja,O
295-21,",",O
295-21,a,O
295-21,brez,O
295-21,naše,O
295-21,zaščite,O
295-21,ne,O
295-21,bi,O
295-21,obstajali,O
295-21,.,O
295-22,Bili,O
295-22,bi,O
295-22,ogromna,O
295-22,katastrofa,O
295-22,",",O
295-22,”,O
295-22,je,O
295-22,dejal,O
295-22,in,O
295-22,dodal,O
295-22,",",O
295-22,da,O
295-22,je,O
295-22,vseeno,O
295-22,možno,O
295-22,",",O
295-22,da,O
295-22,bi,O
295-22,jim,O
295-22,kot,O
295-22,predsednik,O
295-22,Amerike,O
295-22,bil,O
295-22,pripravljen,O
295-22,odreči,O
295-22,to,O
295-22,pomoč,O
295-22,",",O
295-22,če,O
295-22,s,O
295-22,svojo,O
295-22,vojsko,O
295-22,ne,O
295-22,bi,O
295-22,želeli,O
295-22,sodelovati,O
295-22,v,O
295-22,operacijah,O
295-22,zoper,O
295-22,Islamsko,B-ORG
295-22,državo,I-ORG
295-22,.,O
295-23,Želel,O
295-23,bi,O
295-23,prisluškovati,O
295-23,in,O
295-23,spremeniti,O
295-23,zvezo,O
295-23,NATO,B-ORG
295-23,V,O
295-23,intervjuju,O
295-23,je,O
295-23,kritiziral,O
295-23,Edwarda,B-PER
295-23,Snowdena,I-PER
295-23,",",O
295-23,ker,O
295-23,je,O
295-23,izdal,O
295-23,ameriška,O
295-23,prisluškovanja,O
295-23,drugim,O
295-23,.,O
295-23,”,O
295-23,Veliko,O
295-23,držav,O
295-23,vohuni,O
295-23,za,O
295-23,nami,O
295-23,.,O
295-24,Sam,O
295-24,bi,O
295-24,tudi,O
295-24,rad,O
295-24,vedel,O
295-24,",",O
295-24,kaj,O
295-24,počnejo,O
295-24,drugi,O
295-24,",",O
295-24,”,O
295-24,je,O
295-24,Trump,O
295-24,odgovoril,O
295-24,na,O
295-24,vprašanje,O
295-24,",",O
295-24,ali,O
295-24,podpira,O
295-24,ameriško,O
295-24,vohunjenje,O
295-24,za,O
295-24,drugimi,O
295-24,državami,O
295-24,in,O
295-24,prisluškovanje,O
295-24,pogovorom,O
295-24,voditeljev,O
295-24,.,O
295-25,Prav,O
295-25,tako,O
295-25,je,O
295-25,kritiziral,O
295-25,NATO,O
295-25,in,O
295-25,dejal,O
295-25,",",O
295-25,da,O
295-25,ZDA,O
295-25,plačuje,O
295-25,mnogo,O
295-25,preveč,O
295-25,denarja,O
295-25,v,O
295-25,NATO,O
295-25,.,O
295-25,”,O
295-25,Pred,O
295-25,časom,O
295-25,je,O
295-25,bil,O
295-25,NATO,O
295-25,odlična,O
295-25,ideja,O
295-25,.,O
295-26,Danes,O
295-26,pa,O
295-26,ni,O
295-26,več,O
295-26,toliko,O
295-26,.,O
295-27,Treba,O
295-27,bi,O
295-27,ga,O
295-27,bilo,O
295-27,prestrukturirati,O
295-27,na,O
295-27,način,O
295-27,",",O
295-27,da,O
295-27,ZDA,O
295-27,ne,O
295-27,bojo,O
295-27,več,O
295-27,plačevale,O
295-27,previsoke,O
295-27,cene,O
295-27,",",O
295-27,prav,O
295-27,tako,O
295-27,pa,O
295-27,se,O
295-27,mora,O
295-27,vanj,O
295-27,vključiti,O
295-27,boj,O
295-27,proti,O
295-27,terorizmu,O
295-27,",",O
295-27,”,O
295-27,je,O
295-27,dejal,O
295-27,Trump,O
295-27,.,O
295-28,Maruša,B-PER
295-28,Gorišek,I-PER
297-0,www.pozitivke.net,O
297-0,-,O
297-0,Kaj,O
297-0,imajo,O
297-0,skupnega,O
297-0,Donald,B-PER
297-0,Trump,B-PER
297-0,",",O
297-0,prevarantski,O
297-0,guru,O
297-0,in,O
297-0,Hitler,B-PER
297-0,?,O
297-1,Ampak,O
297-1,ne,O
297-1,bomo,O
297-1,se,O
297-1,zadovoljili,O
297-1,s,O
297-1,takim,O
297-1,kratkim,O
297-1,odgovorom,O
297-1,.,O
297-2,Moramo,O
297-2,biti,O
297-2,malce,O
297-2,bolj,O
297-2,metodični,O
297-2,in,O
297-2,svoje,O
297-2,trditve,O
297-2,podpreti,O
297-2,s,O
297-2,konkretnimi,O
297-2,zadevami,O
297-2,.,O
297-3,Začnimo,O
297-3,z,O
297-3,Donaldom,B-PER
297-3,Trumpom,I-PER
297-3,.,O
297-4,Koga,O
297-4,skuša,O
297-4,prevarati,O
297-4,?,O
297-5,Ameriški,O
297-5,narod,O
297-5,.,O
297-6,Kako,O
297-6,skuša,O
297-6,prevarati,O
297-6,svoje,O
297-6,sodržavljane,O
297-6,?,O
297-7,Tako,O
297-7,",",O
297-7,da,O
297-7,jim,O
297-7,obljublja,O
297-7,stvari,O
297-7,",",O
297-7,ki,O
297-7,jih,O
297-7,nikoli,O
297-7,ne,O
297-7,bo,O
297-7,realiziral,O
297-7,",",O
297-7,če,O
297-7,bo,O
297-7,izvoljen,O
297-7,.,O
297-8,Kot,O
297-8,vsi,O
297-8,politiki,O
297-8,pač,O
297-8,.,O
297-9,Ampak,O
297-9,pomembno,O
297-9,je,O
297-9,razumeti,O
297-9,ta,O
297-9,proces,O
297-9,bolj,O
297-9,v,O
297-9,globino,O
297-9,",",O
297-9,ker,O
297-9,izkorišča,O
297-9,veliko,O
297-9,ranljivost,O
297-9,človeške,O
297-9,psihe,O
297-9,.,O
297-10,Pritiska,O
297-10,namreč,O
297-10,na,O
297-10,dva,O
297-10,močna,O
297-10,gumba,O
297-10,hkrati,O
297-10,.,O
297-11,Na,O
297-11,eni,O
297-11,strani,O
297-11,vzbuja,O
297-11,upanje,O
297-11,v,O
297-11,stilu,O
297-11,»,O
297-11,Če,O
297-11,me,O
297-11,izvolite,O
297-11,",",O
297-11,bom,O
297-11,poskrbel,O
297-11,za,O
297-11,X,O
297-11,",",O
297-11,Y,O
297-11,",",O
297-11,Z,O
297-11,...,O
297-11,in,O
297-11,vse,O
297-11,bo,O
297-11,boljše,O
297-11,!,O
297-11,«,O
297-11,.,O
297-12,Na,O
297-12,drugi,O
297-12,strani,O
297-12,pa,O
297-12,jim,O
297-12,masira,O
297-12,ego,O
297-12,v,O
297-12,stilu,O
297-12,»,O
297-12,Če,O
297-12,me,O
297-12,izvolite,O
297-12,",",O
297-12,bom,O
297-12,postavil,O
297-12,Ameriko,B-LOC
297-12,spet,O
297-12,tja,O
297-12,",",O
297-12,kamor,O
297-12,spada,O
297-12,«,O
297-12,.,O
297-13,Ali,O
297-13,kot,O
297-13,pravi,O
297-13,njegov,O
297-13,slogan,O
297-13,»,O
297-13,Make,O
297-13,America,B-LOC
297-13,great,O
297-13,again,O
297-13,!,O
297-13,«,O
297-13,Je,O
297-13,kaj,O
297-13,narobe,O
297-13,z,O
297-13,upanjem,O
297-13,?,O
297-14,Nič,O
297-14,",",O
297-14,dokler,O
297-14,človeku,O
297-14,pomaga,O
297-14,naprej,O
297-14,.,O
297-15,Brez,O
297-15,upanja,O
297-15,oziroma,O
297-15,vere,O
297-15,(,O
297-15,ne,O
297-15,v,O
297-15,smislu,O
297-15,religije,O
297-15,),O
297-15,v,O
297-15,nekaj,O
297-15,je,O
297-15,težko,O
297-15,iti,O
297-15,naprej,O
297-15,skozi,O
297-15,težke,O
297-15,čase,O
297-15,.,O
297-16,Je,O
297-16,kaj,O
297-16,narobe,O
297-16,z,O
297-16,egom,O
297-16,?,O
297-17,No,O
297-17,",",O
297-17,mnogi,O
297-17,ljudje,O
297-17,",",O
297-17,ki,O
297-17,se,O
297-17,ukvarjajo,O
297-17,z,O
297-17,duhovnostjo,O
297-17,",",O
297-17,bodo,O
297-17,rekli,O
297-17,",",O
297-17,da,O
297-17,ja,O
297-17,.,O
297-18,Pozabljajo,O
297-18,pa,O
297-18,",",O
297-18,da,O
297-18,je,O
297-18,ego,O
297-18,pravzaprav,O
297-18,človekova,O
297-18,osebnost,O
297-18,.,O
297-19,Brez,O
297-19,ega,O
297-19,ne,O
297-19,moremo,O
297-19,živeti,O
297-19,.,O
297-20,Ego,O
297-20,sam,O
297-20,po,O
297-20,sebi,O
297-20,ni,O
297-20,slaba,O
297-20,stvar,O
297-20,.,O
297-21,Če,O
297-21,tej,O
297-21,izjavi,O
297-21,ne,O
297-21,verjamete,O
297-21,",",O
297-21,potem,O
297-21,skušajte,O
297-21,nekaj,O
297-21,dni,O
297-21,živeti,O
297-21,brez,O
297-21,ega,O
297-21,.,O
297-22,Opozorilo,O
297-22,vnaprej,O
297-22,!,O
297-23,Zunanji,O
297-23,svet,O
297-23,vas,O
297-23,bo,O
297-23,enostavno,O
297-23,povozil,O
297-23,.,O
297-24,Kje,O
297-24,pa,O
297-24,je,O
297-24,potemtakem,O
297-24,problem,O
297-24,",",O
297-24,če,O
297-24,Donald,O
297-24,pritiska,O
297-24,na,O
297-24,psihološka,O
297-24,gumba,O
297-24,upanja,O
297-24,in,O
297-24,ega,O
297-24,in,O
297-24,se,O
297-24,zaradi,O
297-24,tega,O
297-24,ljudje,O
297-24,boljše,O
297-24,počutijo,O
297-24,?,O
297-25,Problem,O
297-25,je,O
297-25,v,O
297-25,tem,O
297-25,",",O
297-25,da,O
297-25,to,O
297-25,upanje,O
297-25,in,O
297-25,ego,O
297-25,slonita,O
297-25,na,O
297-25,lažnih,O
297-25,neobstoječih,O
297-25,temeljih,O
297-25,.,O
297-26,Na,O
297-26,puhlicah,O
297-26,.,O
297-27,Na,O
297-27,lažeh,O
297-27,.,O
297-28,Na,O
297-28,nebulozah,O
297-28,.,O
297-29,Kdo,O
297-29,se,O
297-29,malce,O
297-29,spozna,O
297-29,na,O
297-29,svetovno,O
297-29,politiko,O
297-29,in,O
297-29,na,O
297-29,finančni,O
297-29,sistem,O
297-29,lahko,O
297-29,takoj,O
297-29,vidi,O
297-29,",",O
297-29,da,O
297-29,Donald,O
297-29,govori,O
297-29,neumnosti,O
297-29,.,O
297-30,Ker,O
297-30,sam,O
297-30,ni,O
297-30,neumen,O
297-30,in,O
297-30,se,O
297-30,še,O
297-30,posebno,O
297-30,dobro,O
297-30,spozna,O
297-30,na,O
297-30,finance,O
297-30,",",O
297-30,lahko,O
297-30,zaključimo,O
297-30,",",O
297-30,da,O
297-30,ima,O
297-30,za,O
297-30,neumne,O
297-30,svoje,O
297-30,poslušalce,O
297-30,.,O
297-31,Ti,O
297-31,enostavno,O
297-31,sprejmejo,O
297-31,",",O
297-31,kar,O
297-31,jim,O
297-31,pove,O
297-31,.,O
297-32,Ker,O
297-32,pač,O
297-32,ne,O
297-32,razumejo,O
297-32,politike,O
297-32,in,O
297-32,financ,O
297-32,in,O
297-32,mu,O
297-32,slepo,O
297-32,verjamejo,O
297-32,",",O
297-32,»,O
297-32,ker,O
297-32,je,O
297-32,Donald,O
297-32,Trump,O
297-32,«,O
297-32,.,O
297-33,No,O
297-33,",",O
297-33,tukaj,O
297-33,imamo,O
297-33,sedaj,O
297-33,še,O
297-33,tretji,O
297-33,psihološki,O
297-33,moment,O
297-33,.,O
297-34,Zaupanje,O
297-34,.,O
297-34,(,O
297-34,Upanje,O
297-34,+,O
297-34,Ego,O
297-34,+,O
297-34,Zaupanje,O
297-34,),O
297-34,x,O
297-34,lažni,O
297-34,temelji,O
297-34,=,O
297-34,Katastrofa,O
297-34,slej,O
297-34,ko,O
297-34,prej,O
297-34,Ampak,O
297-34,ker,O
297-34,to,O
297-34,ni,O
297-34,portal,O
297-34,o,O
297-34,politiki,O
297-34,in,O
297-34,financah,O
297-34,",",O
297-34,si,O
297-34,poglejmo,O
297-34,",",O
297-34,kako,O
297-34,to,O
297-34,vpliva,O
297-34,na,O
297-34,nas,O
297-34,.,O
297-35,Zato,O
297-35,se,O
297-35,moramo,O
297-35,seznaniti,O
297-35,s,O
297-35,tem,O
297-35,",",O
297-35,kakšno,O
297-35,zvezo,O
297-35,ima,O
297-35,Donald,O
297-35,Trump,O
297-35,in,O
297-35,njegov,O
297-35,nastop,O
297-35,v,O
297-35,predsedniški,O
297-35,kampanji,O
297-35,s,O
297-35,prevarantskim,O
297-35,gurujem,O
297-35,.,O
297-36,No,O
297-36,",",O
297-36,moral,O
297-36,bi,O
297-36,napisati,O
297-36,v,O
297-36,množini,O
297-36,»,O
297-36,prevarantski,O
297-36,guruji,O
297-36,«,O
297-36,",",O
297-36,ker,O
297-36,jih,O
297-36,je,O
297-36,po,O
297-36,svetu,O
297-36,cel,O
297-36,kup,O
297-36,.,O
297-37,Oni,O
297-37,tudi,O
297-37,ljudem,O
297-37,dajejo,O
297-37,upanje,O
297-37,in,O
297-37,pihajo,O
297-37,na,O
297-37,dušo,O
297-37,",",O
297-37,kar,O
297-37,je,O
297-37,v,O
297-37,tem,O
297-37,primeru,O
297-37,pihanje,O
297-37,na,O
297-37,ego,O
297-37,.,O
297-38,Za,O
297-38,upanje,O
297-38,so,O
297-38,izjave,O
297-38,v,O
297-38,stilu,O
297-38,»,O
297-38,Pridite,O
297-38,k,O
297-38,meni,O
297-38,in,O
297-38,dobili,O
297-38,boste,O
297-38,X.,O
297-38,«,O
297-38,pri,O
297-38,čemer,O
297-38,jer,O
297-38,X,O
297-38,tisto,O
297-38,",",O
297-38,kar,O
297-38,si,O
297-38,ljudje,O
297-38,pač,O
297-38,želijo,O
297-38,oziroma,O
297-38,iščejo,O
